ts	phase	decision	why	evidence	result
2026-08-24T20:48:34Z	frame	Use 2026-08-21 14:50 America/Lima as the physical-count cutoff	The workbook filename and the user's instruction define the inventory anchor	/Users/ylaurach/Downloads/stock 21.08.2026 a las 2.50 pm.xlsx	open
2026-08-24T20:48:34Z	frame	Rebuild August history without changing seller stock	The user asked for master inventory tracking only	CONTEXT.md	open
2026-08-24T20:51:51Z	baseline	Count 2,226 eligible Falabella units before the cutoff and 243 after it	The physical count already includes every warehouse exit before the cutoff	read-only August order and lifecycle SQL	verified
2026-08-24T20:51:51Z	baseline	Use shipped_at, then ready_to_ship_at, then provider_updated_at, then ordered_at as the warehouse-exit timestamp	The inventory policy decrements when an order becomes ready to ship and lifecycle timestamps are the closest stored evidence	packages/server/src/falabella-sync.js; packages/server/src/catalog/stock-phase.js	open
2026-08-24T21:06:33Z	correction	Supersede the 2,226/243 lifecycle estimate with the first eligible order event	order_events.provider_occurred_at records the earliest observed ready_to_ship, shipped, or delivered state and avoids using processing timestamps	read-only event audit: 2,368 stored units before cutoff and 135 after cutoff	verified
2026-08-24T21:06:33Z	correction	Do not use the shipped_at/provider_updated_at fallback chain for reconciliation	The lifecycle columns are incomplete and can assign a later processing time to an earlier physical exit	packages/server/src/catalog/stock-phase.js; read-only order_events audit	verified
2026-08-24T21:06:33Z	frame	Separate August sales attribution from inventory exits	Sales belong to orders.ordered_at; inventory belongs to the first eligible event and later terminal reversals	1,270 non-cancelled/non-returned August orders; 2,500 corrected units	verified
2026-08-24T21:12:00Z	design	Use the physical-count anchor plus effective per-line events as the base design	A product-only correction loses the evidence needed for later returns and cancellations	Arena candidates A/B and gpt-5.4 cross-judge	accepted
2026-08-24T21:12:00Z	design	Keep reconciliation as an explicit one-off command and reuse the existing movement ledger	This preserves Candidate A's auditability while limiting runtime and schema impact	Cross-judge graft from Candidate B	accepted
2026-08-24T21:12:00Z	design	Include post-cut terminal reversals in the current-stock formula	Seven pre-cut eligible orders became cancelled or returned after the count	read-only event audit: 16 units	verified
2026-08-24T21:12:00Z	mapping	Treat seven of eight post-cut product-less lines as resolvable through current active listings	The exact seller/company listing lookup is unique for those seven lines	read-only product_listings join	verified
2026-08-24T21:12:00Z	mapping	Reassociate seller SKU 140746934 to master H9XLN	The title is explicitly black XL; listing 6877 currently points to unrelated AG288 gloves	products 116 H9XLN; product_listings 6877	accepted
2026-08-24T21:17:00Z	correction	Use 2,498 as the current corrected August commercial-unit total excluding cancelled and returned orders	The live DB now has 2,498 qualifying lines: 2,480 stored at quantity 1 and 18 historical zero quantities that default to 1	read-only quantity distribution by current fulfillment status	verified
2026-08-24T21:17:00Z	report	Report 11 pending units separately inside the 2,498 commercial units	Pending orders are commercially valid but have not yet triggered the warehouse-exit policy	read-only status breakdown	verified
2026-08-24T21:22:00Z	prerequisite	Create three missing historical masters at stock 0	Exact Falabella order-item identities had no canonical product and block a complete August audit	FAL-146325783 product 270; FAL-151159665 product 271; FAL-115839107 product 272	applied
2026-08-24T21:22:00Z	shortage	Require explicit acknowledgement for 11 post-cut units sold beyond the physical count	Six products had a cutoff count too low to subtract all later exits; silently clamping would hide the discrepancy	AG178 5; AG77 2; HOG-12-002 1; AG214 1; AG285 1; AM7 1	verified
2026-08-24T21:25:34Z	apply	Apply the immutable August reconciliation run with the reviewed plan hash	The dry run had no unmapped blockers and the known shortages were explicitly preserved as audit evidence	run 1; plan fb4fea2e5ce02464e254b4b056a2c0f3033aead6d7c4006e3dbb852d71de9b2b; source ac509fd821ef2887f74048a867f744030efe4a819188794fe09554d463a3d9e6	applied
2026-08-24T21:27:00Z	verify	Require a second apply to be a no-op	A reconciliation command must be safe to retry after a timeout or restart	same run key returned SIN CAMBIOS; no second run inserted	verified
2026-08-24T21:28:00Z	verify	Accept the final master balances only when every immutable anchor matches current inventory	This proves the per-product result rather than relying on aggregate totals	95 anchors; cutoff 17609 units; target 17501 units; mismatches 0	verified
2026-08-24T21:28:00Z	verify	Keep every final on-hand and available balance nonnegative	The operator required zero instead of negative stock	product_inventory on-hand negatives 0; available negatives 0	verified
2026-08-24T21:29:00Z	verify	Close the Falabella August mapping warning after checking the live order lines	The requested scope starts on 1 August 2026 and older debt must not be presented as part of this reconciliation	Falabella August unmapped 0; skipped_unmapped 0; nonpositive quantities 0	verified
2026-08-24T21:29:00Z	verify	Treat products with a matching reconciliation anchor as auditable even when their anchor delta was zero	A zero-delta physical count cannot create an inventory_movements row because the ledger forbids zero movements	AG103 100; AG146 292; AG147 399; live readiness drift 0	verified
2026-08-24T21:30:00Z	presentation	Show movement effective_at in product inventory history	Historical replay rows were inserted today but represent August exits and reversals	inventory-service effectiveAt plus Productos effectiveAt fallback	verified
2026-08-24T21:30:00Z	verify	Do not mutate marketplace seller quantities during reconciliation	Seller stock is a marketplace snapshot, not the master warehouse balance	apply path only updates listing 6877 product_id and status; marketplace_quantity is never in an update statement	verified
2026-08-24T21:34:00Z	verify	Confirm the only listing row touched at apply time was the expected H9XLN reassociation	A timestamp-level DB check narrows the mutation blast radius	1 listing updated at run.applied_at; id 6877; product 116; marketplace_quantity remained 100	verified
2026-08-24T21:35:00Z	verify	Run focused server tests, web tests, compilation and diff checks	The database result and the code path both need independent executable evidence	82 server tests; 37 web tests; core build; web typecheck; git diff --check	verified
2026-08-25T01:00:00Z	presentation	Hide superseded pre-reconciliation movements from the operational product history	The old example/import rows remain immutable in the database but mixing them with the authoritative August replay makes the visible running balance misleading	latest reconciliation CTE; live product 11 showed 1374 authoritative/new movements and 0 superseded old rows	verified
2026-08-25T01:01:00Z	verify	Supersede the earlier focused-test count with the final count after adding the authoritative-history regression test	The presentation filter added one focused server test	83 server tests; 37 web tests; web typecheck; git diff --check	verified
2026-08-25T01:02:00Z	verify	Verify live movements created after the reconciliation continue from the immutable target	The scheduler kept processing after the fixed reconciliation as-of and those later events must not be mistaken for drift	11 later movements; net +11; expected-current mismatches 0; negatives 0	verified
2026-08-25T01:05:00Z	closure	Close the physical-cutoff frame as verified	The applied run stores the workbook hash and the 21 August 14:50 Lima cutoff	run 1 cutoff_at 2026-08-21T19:50:00Z; source hash ac509fd821ef2887f74048a867f744030efe4a819188794fe09554d463a3d9e6	verified
2026-08-25T01:05:00Z	closure	Close the seller-stock frame as verified	The apply-time mutation audit found only the intended H9XLN association and no marketplace quantity update	listing 6877 only; marketplace_quantity 100 preserved	verified
2026-08-25T01:05:00Z	closure	Mark the early 2226/243 lifecycle baseline as superseded	The authoritative replay uses first eligible provider events and terminal reversals	2464 exits and 30 reversals before cutoff; 135 exits and 16 reversals after cutoff	superseded
2026-08-25T01:06:00Z	review	Accept the independent final review with no blockers	A different model inspected the reconciliation, readiness, movement history and audit evidence	gpt-5.4: no blockers; two low-severity hardening notes	accepted
