ts	phase	decision	why	evidence	result
2026-08-21T17:12:42Z	frame	Require the Railway build command to compile ripley-api and the API to answer /health locally	This is the smallest predicate that covers the failed deployment and the real runtime path	railway.json:5; Railway deployment 7d43dcdc-916b-44c0-90cb-90b88288734a	open
2026-08-21T17:14:49Z	baseline	Ran a focused assertion against Railway's declared build command	A fast red check must fail on the exact missing workspace build	railway.json:5	failed: Railway omite el build de @zentofact/ripley-api
2026-08-21T17:14:49Z	repro	Discarded the first local server-start reproduction	The shared root node_modules resolves workspace packages in the principal worktree, so it did not exercise this worktree's removed dist	readlink -f node_modules/@zentofact/ripley-api	inconclusive, not used as proof
2026-08-21T17:15:59Z	diagnosis	Kept the missing Railway workspace build as the surviving cause	The Ripley build and direct import pass, while Railway's command omits that workspace	packages/ripley-api/package.json; railway.json:5	ripley_import=ok
2026-08-21T17:15:59Z	regression	Added and ran a focused config contract test before the fix	The test names every compiled internal package required by the API	packages/server/src/railway-config.test.js	failed on @zentofact/ripley-api as intended
2026-08-21T17:20:57Z	iteration-1	Added Ripley to Railway's build chain	Both code flow and git history show the deployment command was the stale boundary	railway.json:5	Railway config test and full build command pass
2026-08-21T17:20:57Z	iteration-2	Excluded orders that already own a canonical stock job from the legacy backfill	Live startup showed the backfill assigning a duplicate order_id to job 1115	packages/server/src/catalog/stock-jobs.js:55; job ids 646 and 1115	stock job tests pass and /health returns 200
2026-08-21T17:20:57Z	iteration-3	Removed per-branch LIMIT clauses around UNION ALL in the accepted-document query	Postgres reproduced the cron syntax error at UNION with the exact query shape	packages/server/src/auto-emission.js:173	corrected query executes successfully
2026-08-21T17:22:27Z	final-check	Ran the full Railway build, Ripley tests, server tests, API health check, and one cron pass	The exit predicate requires the real build and runtime, not only focused unit tests	railway.json; packages/server/src; packages/ripley-api/test	build green, Ripley 11/11, server 243 passed and 1 skipped, health 200, cron completed
2026-08-21T17:22:27Z	audit	Audited this log against the available active-turn record	The workspace does not expose an agent-transcripts directory, so the live transcript and resolved evidence paths were used	.audit/fix-railway-ripley-build.tsv	no invented rows found; transcript directory unavailable
2026-08-21T17:43:25Z	reopen	Superseded the iteration-2 claim after independent review	The original NOT EXISTS prevented the unique violation but left canonical and legacy rows executable through different indexes	packages/server/src/catalog/stock-jobs.js; packages/server/src/stock-jobs.integration.test.js	root fix reopened
2026-08-21T17:43:25Z	design	Kept one enqueue boundary and centralized exact-one resolution, promotion, locking, and supersession	Arena compared central convergence with a separate signals subsystem; the central design hides more policy with less rollout surface	/tmp/arena-stock-identity/synthesis.md	candidate 1 selected with consumer-defense graft
2026-08-21T17:43:25Z	regression	Executed the stock identity test red against PostgreSQL	The old external enqueue produced a legacy row even when order 101 was uniquely resolvable	packages/server/src/stock-jobs.integration.test.js	failed: 0 !== 101
2026-08-21T17:43:25Z	iteration-4	Converged stock identity and protected caller-owned transactions	A stacked session/transaction advisory lock plus canonical promotion and worker filtering covers autocommit, outer transactions, and stale split rows	packages/server/src/catalog/stock-jobs.js; packages/server/src/index.js	PostgreSQL concurrency and replay test green
2026-08-21T17:43:25Z	iteration-5	Replaced the accepted-document UNION with two EXISTS predicates and an injectable database boundary	This removes the invalid SQL shape and makes the actual query executable in a regression test	packages/server/src/auto-emission.js; packages/server/src/auto-emission.integration.test.js	PostgreSQL boleta/factura cases green
2026-08-21T17:43:25Z	local-reconcile	Ran startup reconciliation twice on the local database	Replay must converge historical split identities without deleting audit history	.audit/local-verification-2026-08-21.txt	0 active split identities; 33 legacy rows annotated as superseded
2026-08-21T17:43:25Z	verification	Ran focused integration, full server suite, Ripley suite, exact Railway build, API health, and cron	The exit predicate requires real PostgreSQL and the real runtime path	.audit/local-verification-2026-08-21.txt	green; health 200; cron completed without the three original failures
2026-08-21T17:53:26Z	audit-correction	Superseded iteration-4's stacked-lock description	The independent audit proved a session lock could leak when a caller transaction aborted	packages/server/src/catalog/stock-jobs.js; packages/server/src/stock-jobs.integration.test.js	xact-only lock; Pool owns transaction; caller client must already be transactional
2026-08-21T17:53:26Z	iteration-6	Made completed legacy evidence dominate canonical processing	A stale processing canonical would otherwise reset to pending after restart and repeat completed stock work	packages/server/src/catalog/stock-jobs.js; packages/server/src/stock-jobs.integration.test.js	processing+legacy-done fixture claims zero jobs
2026-08-21T17:53:26Z	iteration-7	Counted every order match before testing canonical-job existence	Filtering first could turn two matching orders into a false unique match when one already had a canonical job	packages/server/src/catalog/stock-jobs.js; packages/server/src/stock-jobs.integration.test.js	ambiguous+canonical fixture stays legacy and retryable
2026-08-21T17:53:26Z	iteration-8	Passed the Pool, not the long-lived autocommit PoolClient, from Falabella sync enqueues	Transaction advisory locks must span lookup and convergence; an autocommit client releases them after the lock statement	packages/server/src/falabella-sync.js	all production enqueue callers now use Pool or explicit transaction
2026-08-21T17:53:26Z	final-audit	Re-audited every production enqueue caller and both prior blockers	Independent review traced Pool/transaction ownership and ran targeted plus real PostgreSQL tests	.audit/local-verification-2026-08-21.txt	no blocking findings
2026-08-21T17:53:26Z	design-record	Preserved the synthesized design before deleting temporary Arena outputs	The final rationale must remain resolvable after cleanup	.audit/stock-identity-design.md	durable design record created
