ts	phase	decision	why	evidence	result
2026-08-21T05:44:33Z	frame	reuse orders as the single store for Falabella and Ripley	orders already owns the internal ID, seller-scoped external identity, items, events, and snapshots	packages/core/src/db/migrate.ts:974	chosen
2026-08-21T05:44:33Z	frame	keep order synchronization separate from automatic invoicing	they have different schedules, controls, failure modes, and effects	packages/server/src/index.js:1467	chosen
2026-08-21T05:44:33Z	frame	use a five-day initial window and cursor-based incremental updates afterward	limits first-load cost while retaining the existing efficient overlap model	packages/server/src/falabella-sync.js:548	chosen
2026-08-21T00:00:03-05:00	architecture	Use the incremental account-level scheduler as the base and graft explicit item completeness, unmapped states, and canonical stock identity	Falabella legacy inbox, lifecycle, labels, and billing still depend on provider tables, while orders and channel accounts already provide the canonical seam	Cross-judge selected candidate B and rejected a full provider-framework rewrite for this release
2026-08-21T00:00:04-05:00	contract	Expose one generic sync status and trigger contract for both channels	The unified page must not know provider-specific scheduler endpoints	GET /order-management/sync-status returns account states and POST /order-management/sync triggers one or all eligible accounts
2026-08-21T06:30:00Z	polish	Keep Ripley environment naming neutral	Public Peru docs confirm the production Mirakl host but do not justify inferring sandbox or QA labels from hostnames	packages/web/src/routes/PedidosRipley.tsx and packages/server/src/ripley-api-url.js updated to show only the configured tenant
2026-08-21T00:00:05-05:00	verification	Add a reusable order-sync verification command	The feature crosses DB, scheduler, provider adapters, and UI, so a single repeatable check is safer than manual spot checks	npm run verify:order-sync passed	builds, backend tests, web tests, typecheck, and architecture invariants passed
2026-08-21T00:00:06-05:00	verification	Preview-load the existing local /orders route without starting backend workers	The visible preview was already on port 3011, but its API target on port 3012 was not running and the app showed login	preview_snapshot at http://localhost:3011/orders	visual authenticated inspection deferred; no scheduler was started against real credentials
2026-08-21T06:15:32Z	live-proof	Run the Ripley synchronizer against the configured read-only OR11 API and local PostgreSQL	Unit fixtures cannot prove the tenant accepts the final paging and date parameters	Run 9 received and upserted 49 complete orders with zero order failures
2026-08-21T06:16:00Z	attention	Preserve local rows created by the first live probe even though some were older orders updated inside the window	Deleting user-visible database rows was not authorized	The final code filters first load by createdAt; 49 local rows remain and the unified page defaults to today's date
2026-08-21T06:20:00Z	regression	Treat a persisted Ripley header without order_lines as a partial run	Advancing the cursor could otherwise strand an incomplete order after the overlap expires	New test failed before the fix and passes after; the header commits, the cursor stays, and the order is retried
2026-08-21T06:21:00Z	identity	Remove the legacy company-plus-external-order uniqueness from canonical stock jobs	The same external ID can exist in Falabella and Ripley for one company	Canonical jobs are unique by orders.id; only null-order legacy jobs use a partial compatibility key
2026-08-21T06:24:00Z	ux	Request connectedOnly orders from the unified page	The seller selector already hid inactive or credentialless sellers, but the SQL list could still include their marketplace rows	A failing-before query test now proves active accounts and required channel credentials are enforced by SQL
2026-08-21T06:30:00Z	recovery	Bound provider requests and recover abandoned running rows under the account advisory lock	A killed process can leave run history marked running, and an unbounded provider request can hold one concurrency slot forever	Falabella and Ripley sync fetches have a 60 second request timeout; the next locked run closes interrupted rows before starting
2026-08-21T06:31:00Z	comments	Run no-comments and audit new suppressions	The Comment Sicko rerun returned no usable report, so the automated comment review failed open and required a manual scoped scan	Deleted one redundant RipleyOrder doc comment; no new lint or TypeScript suppressions remain
2026-08-21T06:32:00Z	verification	Run the reusable full verification lever and inspect the real schema	The handoff requires executable proof across provider, server, UI, build, and database identity	226 server tests passed with one skipped integration, 34 web tests passed, all builds passed, and PostgreSQL shows separate canonical and legacy stock indexes
2026-08-21T06:33:00Z	attention	Inspect the unified route in the collaborative browser	Visual verification requires an authenticated session and starting the API workers can call configured marketplace and billing integrations	The app and login render on port 3011; authenticated /orders composition remains uninspected in the browser
2026-08-21T06:40:00Z	verification	Repeat the complete verification after timeout, recovery, and connected-seller refinements	The earlier proof preceded the final concurrency recovery and filtering changes	229 of 230 server tests passed with one intentional skip, 34 web tests passed, all builds and architecture invariants passed; git diff --check is clean
